0.000000000,N
0.046439909,F#
7.430385488,Abm
10.356099773,F#
13.281814059,Abm
14.628571429,Eb
15.650249433,F#
16.207528345,Bmaj7
17.693605442,C#
19.272562358,Ebm
20.665759637,F#
22.151836735,Bmaj7
23.730793651,C#
25.263310658,Fm7b5/Eb
26.192108844,Eb
28.467664399,F#
29.628662132,Bb7
30.093061224,F#maj7
31.393378685,Bmaj7
32.833015873,C#m6
33.854693878,F#/G#
35.665850340,Bbm7
36.130249433,F#7
37.384126984,B7
37.941405896,F#/C#
38.684444444,B/F#
40.216961451,F#
41.935238095,Abm7
43.189115646,C#
45.000272109,F#maj7
46.207709751,Eb
47.879546485,B
49.412063492,Ab7/C
50.898140590,C#
56.145850340,Eb7
56.517369615,Fm
56.842448980,F#m
59.768163265,Dmaj7
62.786757370,E
65.898231293,Dm
66.780589569,Amaj7
68.684625850,F#m
71.610340136,Dmaj7
74.257414966,E7
74.721814059,Gmaj7
77.043809524,C#m7
77.461768707,C#aug
77.879727891,Abm7b5/Gb
78.947845805,F#m
80.898321995,Bm
82.384399093,C#m
83.731156463,Ebm
85.263673469,Abm7
86.006712018,Bbm7
86.703310658,Ebm
88.421587302,Abm7
88.978866213,F#
89.675464853,Bmaj7
96.734331066,N